ca_score_40,attendance_rate_percent,mock_exam_score_100,study_hours_per_week,subject_combination,gender,study_resources,behavioural_pattern,stress_level_1_10,performance_category
2,5,89,26,Science,Male,Textbooks,Motivated,4,Excellent
36,78,61,34,Arts,Male,Tutorials,Struggling,9,Average
6,31,32,20,Arts,Female,Textbooks,Struggling,3,At Risk
20,50,84,24,Arts,Female,Tutorials,Motivated,6,Good
8,74,34,27,Commercial,Male,Textbooks,Struggling,6,Average
38,57,51,14,Science,Male,YouTube,Motivated,7,Good
17,86,33,3,Arts,Female,YouTube,Stressed,9,At Risk
3,25,40,28,Commercial,Female,Textbooks,Motivated,7,At Risk
24,97,50,8,Arts,Male,Mixed,Motivated,1,Average
13,45,46,26,Science,Female,YouTube,Struggling,8,Average
8,97,81,25,Arts,Male,Tutorials,Stressed,5,Good
25,28,57,18,Science,Male,Textbooks,Motivated,9,Average
1,3,74,27,Arts,Male,Tutorials,Stressed,10,At Risk
19,80,56,16,Science,Female,Mixed,Stressed,5,Good
27,98,22,40,Arts,Female,Textbooks,Struggling,5,Average
6,12,47,19,Science,Female,YouTube,Motivated,2,Average
7,38,21,39,Arts,Female,Tutorials,Struggling,3,At Risk
34,14,16,38,Arts,Male,YouTube,Motivated,10,Average
13,28,68,22,Commercial,Female,YouTube,Stressed,9,Average
16,28,10,31,Commercial,Male,Textbooks,Motivated,7,At Risk
35,74,93,32,Science,Male,Tutorials,Motivated,1,Excellent
39,31,14,4,Arts,Male,Mixed,Stressed,3,Average
3,1,90,33,Science,Female,YouTube,Stressed,2,Average
1,46,34,39,Commercial,Male,Textbooks,Motivated,1,Average
5,77,32,10,Science,Male,Textbooks,Struggling,9,At Risk
3,83,83,2,Science,Female,Mixed,Motivated,8,Average
28,21,15,32,Commercial,Male,Textbooks,Stressed,5,Average
17,74,33,10,Arts,Female,YouTube,Struggling,2,Good
25,26,65,15,Science,Female,Textbooks,Stressed,1,Good
33,66,98,17,Commercial,Female,Tutorials,Stressed,7,Excellent
9,80,39,29,Arts,Male,Tutorials,Struggling,2,Good
35,55,27,9,Commercial,Female,YouTube,Stressed,1,Good
13,91,46,17,Science,Female,Tutorials,Stressed,2,Good
30,92,38,37,Arts,Female,Mixed,Stressed,7,Good
14,20,69,18,Arts,Female,Textbooks,Stressed,7,Average
7,46,72,35,Commercial,Male,YouTube,Stressed,10,Average
13,79,19,12,Commercial,Female,Mixed,Stressed,6,At Risk
22,100,0,2,Commercial,Male,Textbooks,Stressed,5,At Risk
39,58,71,9,Arts,Female,Mixed,Stressed,3,Good
20,83,86,37,Arts,Male,YouTube,Stressed,3,Good
15,5,62,0,Science,Female,YouTube,Motivated,9,At Risk
17,18,66,26,Arts,Male,Mixed,Motivated,4,Average
23,56,3,7,Science,Female,Textbooks,Stressed,9,At Risk
25,68,57,16,Commercial,Male,Tutorials,Motivated,4,Good
24,2,24,8,Commercial,Male,Tutorials,Struggling,2,At Risk
40,0,46,5,Arts,Male,Mixed,Motivated,4,Good
28,57,37,24,Commercial,Female,YouTube,Stressed,6,Average
14,37,14,38,Commercial,Male,Textbooks,Stressed,6,At Risk
0,14,62,27,Arts,Male,Textbooks,Motivated,5,At Risk
24,33,20,32,Science,Male,YouTube,Stressed,1,At Risk
6,60,98,36,Arts,Male,Tutorials,Struggling,3,Excellent
8,34,56,8,Science,Female,Textbooks,Struggling,5,At Risk
23,63,52,17,Arts,Male,Mixed,Stressed,6,Average
0,24,45,20,Arts,Male,Tutorials,Struggling,1,Average
7,23,13,1,Commercial,Male,Mixed,Struggling,9,At Risk
23,11,99,37,Arts,Female,Tutorials,Motivated,3,Good
10,17,75,39,Arts,Male,YouTube,Struggling,10,At Risk
16,14,16,35,Science,Male,Mixed,Motivated,3,Average
7,79,38,36,Commercial,Male,Mixed,Stressed,2,Good
34,26,8,14,Science,Male,YouTube,Motivated,8,Average
34,71,98,27,Science,Female,Mixed,Stressed,3,Excellent
32,59,76,17,Commercial,Male,Tutorials,Stressed,6,Average
4,45,78,33,Commercial,Male,Textbooks,Stressed,2,Good
38,88,81,21,Commercial,Female,Textbooks,Stressed,7,Excellent
40,16,96,10,Arts,Female,YouTube,Stressed,4,Excellent
27,92,5,12,Commercial,Female,Tutorials,Motivated,9,Average
6,52,90,3,Commercial,Male,Mixed,Stressed,10,At Risk
8,7,22,21,Commercial,Female,Mixed,Struggling,9,At Risk
7,78,58,6,Science,Male,Textbooks,Struggling,7,At Risk
11,26,90,23,Science,Female,Mixed,Stressed,8,At Risk
33,45,97,3,Arts,Male,Textbooks,Struggling,3,Excellent
32,49,45,27,Science,Female,YouTube,Motivated,5,Good
22,70,37,14,Arts,Male,Mixed,Motivated,2,Good
23,2,13,0,Science,Female,Tutorials,Stressed,10,At Risk
36,92,99,2,Commercial,Male,Mixed,Stressed,7,Good
34,63,71,13,Science,Male,Textbooks,Stressed,8,Good
39,43,61,37,Arts,Male,YouTube,Struggling,9,Good
21,52,34,0,Science,Male,Textbooks,Struggling,7,Average
26,23,18,37,Commercial,Male,Mixed,Motivated,10,At Risk
34,59,29,37,Arts,Male,Textbooks,Struggling,10,Good
0,2,77,20,Commercial,Male,Textbooks,Motivated,8,At Risk
34,19,83,28,Commercial,Male,YouTube,Struggling,9,Good
36,45,24,4,Arts,Female,Tutorials,Motivated,6,Average
13,14,39,9,Commercial,Male,Mixed,Stressed,10,At Risk
2,24,87,27,Commercial,Male,YouTube,Struggling,2,Good
0,93,13,20,Science,Female,Tutorials,Motivated,2,At Risk
4,77,25,6,Commercial,Male,Textbooks,Struggling,4,At Risk
25,70,86,2,Commercial,Female,Tutorials,Stressed,9,Good
13,16,21,19,Commercial,Male,Textbooks,Motivated,7,At Risk
38,83,47,18,Commercial,Female,Textbooks,Struggling,2,Excellent
26,99,82,34,Arts,Female,YouTube,Struggling,8,Good
8,8,50,3,Science,Male,Textbooks,Stressed,7,At Risk
14,37,2,4,Commercial,Female,YouTube,Stressed,9,At Risk
14,47,41,0,Commercial,Male,Tutorials,Motivated,8,At Risk
25,59,18,3,Arts,Male,Tutorials,Struggling,3,At Risk
12,62,72,11,Commercial,Male,Textbooks,Struggling,1,Average
31,85,27,26,Arts,Male,YouTube,Stressed,2,Average
38,1,83,22,Science,Female,Textbooks,Stressed,2,Good
31,87,44,24,Science,Male,YouTube,Motivated,4,Good
3,71,70,20,Commercial,Female,YouTube,Struggling,6,Average
29,10,77,23,Commercial,Female,YouTube,Struggling,4,Good
36,63,62,24,Commercial,Male,Tutorials,Motivated,9,Average
22,76,72,31,Arts,Male,YouTube,Motivated,4,Good
38,80,18,31,Commercial,Male,Tutorials,Stressed,6,Average
14,71,46,4,Commercial,Male,YouTube,Stressed,6,At Risk
28,20,13,35,Science,Female,Tutorials,Motivated,10,At Risk
35,17,37,38,Commercial,Male,Mixed,Motivated,10,Average
12,93,52,15,Science,Female,Tutorials,Struggling,1,Average
31,63,60,32,Commercial,Male,Tutorials,Motivated,8,Excellent
6,81,35,20,Science,Male,Textbooks,Motivated,3,Good
21,94,39,8,Commercial,Male,YouTube,Struggling,6,Good
27,37,80,5,Science,Male,Mixed,Motivated,3,Good
1,31,29,34,Arts,Female,Textbooks,Stressed,2,At Risk
5,10,8,38,Science,Female,YouTube,Stressed,5,At Risk
27,44,63,21,Science,Male,Mixed,Struggling,1,Good
27,88,32,40,Science,Female,Mixed,Motivated,9,Good
19,32,51,4,Commercial,Female,Mixed,Stressed,7,At Risk
29,40,88,22,Commercial,Male,YouTube,Stressed,3,Excellent
10,7,13,16,Commercial,Male,Mixed,Stressed,4,At Risk
27,10,74,11,Arts,Female,Mixed,Stressed,6,Average
24,85,52,22,Arts,Female,Textbooks,Motivated,3,Average
38,50,98,15,Science,Female,Tutorials,Motivated,7,Good
32,87,58,2,Arts,Female,YouTube,Motivated,6,Good
0,40,77,29,Science,Male,Tutorials,Motivated,9,Average
26,16,93,21,Science,Male,Textbooks,Stressed,5,Good
12,75,40,8,Science,Female,Tutorials,Struggling,4,At Risk
40,45,67,28,Arts,Male,Mixed,Struggling,3,Excellent
2,31,67,36,Commercial,Female,Mixed,Stressed,10,At Risk
38,78,91,22,Arts,Female,YouTube,Stressed,1,Good
5,79,7,12,Science,Male,YouTube,Struggling,3,At Risk
7,53,1,31,Science,Female,YouTube,Struggling,3,At Risk
26,85,85,22,Arts,Female,Textbooks,Stressed,7,Good
8,91,40,16,Science,Male,YouTube,Stressed,7,At Risk
36,19,54,39,Science,Male,Textbooks,Motivated,1,Excellent
32,32,15,20,Arts,Female,Mixed,Motivated,3,Average
23,73,92,1,Arts,Female,Tutorials,Struggling,8,Average
14,39,61,36,Arts,Male,Mixed,Stressed,9,Good
31,31,47,5,Science,Female,Mixed,Struggling,7,Good
31,96,29,17,Science,Female,Mixed,Motivated,7,Average
23,1,11,29,Commercial,Male,YouTube,Motivated,8,At Risk
40,96,34,21,Commercial,Male,YouTube,Struggling,6,Good
11,32,10,32,Arts,Male,YouTube,Motivated,3,At Risk
38,76,63,29,Commercial,Male,Tutorials,Stressed,1,Excellent
1,29,49,16,Science,Male,YouTube,Struggling,7,Average
2,32,84,31,Commercial,Male,Textbooks,Stressed,1,Average
36,76,20,13,Science,Female,Mixed,Stressed,1,Average
16,25,68,9,Arts,Female,Tutorials,Motivated,9,At Risk
1,21,47,35,Arts,Male,Tutorials,Stressed,10,At Risk
1,65,19,33,Science,Male,Tutorials,Struggling,7,Good
27,37,100,8,Commercial,Female,Tutorials,Stressed,4,Good
22,89,66,27,Arts,Female,Tutorials,Stressed,6,Average
36,45,43,10,Arts,Female,Textbooks,Stressed,1,Average
31,14,32,13,Commercial,Male,Mixed,Stressed,7,At Risk
32,97,72,38,Commercial,Male,Tutorials,Stressed,6,Excellent
0,43,60,18,Science,Female,Mixed,Motivated,4,Average
18,48,8,14,Commercial,Male,YouTube,Struggling,7,At Risk
1,74,67,27,Commercial,Male,Tutorials,Motivated,3,Average
25,60,34,23,Commercial,Male,Tutorials,Struggling,1,Average
31,66,80,7,Science,Female,Mixed,Struggling,4,Good
5,5,97,8,Science,Female,Tutorials,Struggling,3,Average
31,8,87,32,Arts,Male,Tutorials,Struggling,1,Excellent
3,5,95,32,Science,Male,Tutorials,Struggling,2,Good
10,72,64,18,Arts,Male,Textbooks,Stressed,5,Average
16,94,7,2,Commercial,Male,Textbooks,Motivated,8,At Risk
37,31,44,9,Arts,Male,Tutorials,Motivated,1,Average
23,40,86,39,Arts,Female,Textbooks,Stressed,4,Good
4,75,46,0,Commercial,Male,YouTube,Struggling,4,At Risk
33,7,39,28,Arts,Male,Tutorials,Motivated,5,At Risk
5,71,75,33,Science,Male,YouTube,Stressed,7,Average
21,49,53,12,Science,Female,Mixed,Stressed,8,Average
10,91,75,0,Science,Female,YouTube,Motivated,6,Average
15,61,45,33,Science,Male,Mixed,Motivated,1,Good
32,83,46,28,Arts,Female,Tutorials,Struggling,7,Good
8,61,14,12,Arts,Female,Mixed,Struggling,3,At Risk
5,6,18,28,Commercial,Female,Mixed,Motivated,6,At Risk
15,74,25,38,Arts,Female,YouTube,Struggling,8,Average
28,83,51,23,Arts,Female,YouTube,Stressed,7,Good
2,79,92,25,Arts,Female,YouTube,Struggling,10,Average
19,3,21,16,Commercial,Male,Tutorials,Struggling,6,At Risk
35,5,20,6,Science,Female,Tutorials,Stressed,9,At Risk
18,57,50,12,Arts,Female,YouTube,Struggling,9,Average
25,21,37,4,Commercial,Male,Tutorials,Stressed,1,At Risk
2,25,19,25,Commercial,Male,Tutorials,Struggling,1,At Risk
18,2,28,2,Commercial,Male,Mixed,Motivated,1,Average
19,40,50,6,Science,Male,Mixed,Struggling,8,At Risk
31,59,3,38,Arts,Female,YouTube,Motivated,10,Average
6,13,54,0,Commercial,Female,Tutorials,Motivated,7,At Risk
40,74,70,16,Science,Female,Mixed,Motivated,3,Good
32,81,91,24,Commercial,Female,Textbooks,Motivated,2,Excellent
39,11,27,2,Commercial,Male,Tutorials,Motivated,4,Average
38,86,3,14,Commercial,Female,Textbooks,Stressed,3,Average
17,11,21,28,Commercial,Female,YouTube,Stressed,7,At Risk
39,12,75,31,Commercial,Male,Tutorials,Stressed,10,Good
0,24,44,25,Science,Female,YouTube,Motivated,8,At Risk
10,44,66,15,Arts,Female,YouTube,Struggling,6,Average
27,18,85,24,Arts,Female,YouTube,Stressed,3,Good
24,54,65,27,Arts,Female,YouTube,Struggling,6,Good
22,99,87,8,Arts,Male,YouTube,Struggling,2,Excellent
30,44,33,0,Science,Male,Tutorials,Motivated,7,Average
29,7,90,28,Science,Male,Textbooks,Motivated,10,Average
34,92,54,21,Science,Male,Tutorials,Motivated,7,Excellent
6,52,0,15,Commercial,Male,Tutorials,Stressed,4,At Risk
15,54,71,40,Commercial,Female,Tutorials,Motivated,8,Good
25,31,86,40,Commercial,Female,Mixed,Stressed,4,Good
1,50,37,6,Arts,Male,Mixed,Stressed,7,At Risk
0,43,5,13,Commercial,Male,Tutorials,Stressed,4,At Risk
11,81,85,28,Arts,Male,Textbooks,Stressed,5,Good
4,69,24,18,Commercial,Female,Tutorials,Motivated,7,At Risk
36,17,81,18,Arts,Male,YouTube,Stressed,10,Average
31,82,16,1,Commercial,Female,Mixed,Motivated,3,At Risk
8,21,60,40,Commercial,Female,Mixed,Motivated,10,At Risk
40,36,11,14,Science,Female,Tutorials,Stressed,5,Good
34,95,5,2,Commercial,Female,Tutorials,Motivated,3,Average
18,55,89,10,Commercial,Male,Textbooks,Struggling,5,Good
15,58,26,29,Science,Female,Textbooks,Motivated,3,Average
2,2,7,39,Arts,Female,YouTube,Motivated,10,At Risk
19,27,82,17,Science,Male,Tutorials,Stressed,7,Average
23,73,64,1,Science,Female,Tutorials,Stressed,1,Good
32,34,56,31,Arts,Female,Tutorials,Motivated,9,Good
23,60,92,7,Commercial,Female,Mixed,Stressed,9,Good
10,92,98,21,Arts,Male,YouTube,Struggling,5,Excellent
7,53,39,5,Commercial,Female,Textbooks,Struggling,9,At Risk
35,62,13,11,Commercial,Female,Mixed,Stressed,10,At Risk
37,78,34,39,Arts,Male,Mixed,Motivated,6,Good
39,96,47,35,Science,Male,Mixed,Struggling,5,Excellent
19,6,83,14,Arts,Female,Mixed,Struggling,3,Average
34,75,55,27,Commercial,Female,YouTube,Motivated,8,Good
24,48,48,17,Arts,Male,Tutorials,Stressed,4,Average
34,93,12,1,Arts,Female,Textbooks,Struggling,10,At Risk
24,84,60,12,Commercial,Male,Textbooks,Motivated,3,Good
28,30,48,14,Science,Female,Mixed,Motivated,6,At Risk
17,57,45,19,Arts,Male,Mixed,Struggling,8,At Risk
17,60,61,28,Commercial,Female,YouTube,Stressed,9,Average
1,23,7,28,Commercial,Male,Mixed,Struggling,6,At Risk
34,19,42,2,Arts,Male,Textbooks,Motivated,5,At Risk
15,36,19,18,Science,Male,Textbooks,Struggling,2,At Risk
40,3,96,2,Arts,Male,Tutorials,Stressed,2,Good
35,91,89,13,Science,Male,Tutorials,Motivated,9,Excellent
32,19,38,39,Science,Female,Textbooks,Stressed,2,Excellent
3,59,84,3,Science,Female,Textbooks,Struggling,2,Average
32,23,48,10,Science,Male,YouTube,Struggling,3,Good
13,49,63,30,Arts,Female,YouTube,Stressed,3,Average
20,48,61,31,Commercial,Female,Textbooks,Struggling,4,Good
19,50,53,26,Commercial,Female,Mixed,Stressed,7,Good
7,95,8,29,Commercial,Female,Tutorials,Struggling,9,At Risk
6,35,87,1,Commercial,Female,Textbooks,Stressed,2,At Risk
2,97,36,8,Commercial,Female,Mixed,Stressed,4,Average
16,99,48,27,Commercial,Male,Textbooks,Motivated,9,Average
32,65,40,30,Arts,Female,Tutorials,Motivated,2,Good
11,78,16,33,Science,Female,Tutorials,Stressed,10,At Risk
21,33,87,14,Commercial,Female,YouTube,Struggling,1,Excellent
21,35,20,24,Arts,Male,YouTube,Struggling,10,At Risk
29,5,50,35,Commercial,Female,YouTube,Struggling,8,Average
37,38,58,7,Commercial,Female,YouTube,Stressed,9,Average
37,41,38,8,Science,Female,Tutorials,Stressed,7,Average
7,57,54,36,Science,Male,Mixed,Stressed,8,At Risk
26,11,40,38,Science,Female,Mixed,Stressed,4,Excellent
26,2,38,31,Commercial,Male,Mixed,Motivated,4,Average
33,17,12,16,Commercial,Female,Textbooks,Stressed,2,Average
20,39,63,34,Commercial,Male,YouTube,Struggling,8,Average
29,20,10,36,Science,Male,YouTube,Motivated,2,Average
32,14,18,18,Arts,Male,Tutorials,Struggling,9,At Risk
27,96,10,28,Commercial,Female,Tutorials,Stressed,4,Good
32,98,76,6,Commercial,Male,Textbooks,Motivated,1,Excellent
4,25,45,27,Commercial,Male,Textbooks,Stressed,4,Average
18,7,44,8,Arts,Male,Mixed,Motivated,3,Average
3,99,0,27,Commercial,Male,Tutorials,Struggling,6,At Risk
34,93,39,5,Arts,Female,YouTube,Stressed,7,At Risk
16,86,18,28,Commercial,Female,Mixed,Stressed,8,Good
27,41,75,16,Arts,Female,YouTube,Motivated,2,Good
29,43,71,15,Commercial,Female,Mixed,Motivated,6,Good
28,13,71,22,Science,Male,YouTube,Stressed,6,Good
5,77,60,30,Science,Female,Textbooks,Motivated,10,Good
34,1,11,2,Science,Male,Mixed,Stressed,5,At Risk
40,36,60,20,Science,Female,YouTube,Motivated,10,Average
36,68,32,25,Commercial,Female,YouTube,Struggling,10,Average
23,37,44,35,Science,Female,Tutorials,Motivated,7,Average
28,40,89,36,Arts,Male,Mixed,Struggling,3,Excellent
30,61,91,21,Science,Female,YouTube,Motivated,4,Good
34,59,68,11,Science,Female,Tutorials,Motivated,10,Good
32,13,7,12,Science,Female,YouTube,Stressed,9,At Risk
20,88,24,10,Commercial,Male,Mixed,Motivated,4,At Risk
31,83,90,15,Science,Female,Textbooks,Motivated,3,Good
22,1,45,7,Arts,Female,Mixed,Struggling,2,Average
32,69,86,39,Science,Male,Mixed,Motivated,5,Good
2,16,29,39,Science,Male,YouTube,Stressed,4,At Risk
17,88,46,1,Science,Female,YouTube,Struggling,8,At Risk
24,27,86,29,Arts,Female,Mixed,Stressed,7,Excellent
30,65,48,29,Science,Female,Tutorials,Stressed,6,Good
2,34,46,11,Arts,Male,Tutorials,Stressed,2,At Risk
39,100,83,9,Arts,Male,Tutorials,Stressed,3,Good
23,4,81,10,Science,Male,YouTube,Struggling,10,At Risk
31,64,17,14,Arts,Female,YouTube,Motivated,9,At Risk
21,39,65,15,Commercial,Male,Mixed,Stressed,9,At Risk
22,75,67,16,Science,Female,Textbooks,Struggling,5,Good
1,55,93,25,Science,Male,YouTube,Stressed,3,Average
26,35,32,1,Arts,Male,Mixed,Motivated,2,Average
1,44,35,11,Arts,Male,Mixed,Struggling,8,At Risk
25,22,81,25,Science,Female,Textbooks,Struggling,6,Good
16,46,100,22,Commercial,Female,Tutorials,Motivated,10,Average
39,30,18,17,Arts,Female,Mixed,Struggling,7,Average
32,10,27,31,Arts,Female,Mixed,Motivated,1,Good
8,9,39,37,Commercial,Male,Mixed,Struggling,1,Average
38,66,83,2,Commercial,Female,Tutorials,Struggling,10,Average
28,13,96,37,Science,Male,Tutorials,Motivated,2,Good
25,79,75,2,Commercial,Female,Textbooks,Motivated,10,Good
34,73,14,29,Science,Female,YouTube,Struggling,3,Average
24,92,40,0,Commercial,Male,Tutorials,Struggling,1,Average
23,9,38,29,Arts,Male,YouTube,Motivated,5,Average
12,75,1,31,Science,Female,YouTube,Motivated,3,At Risk
6,93,62,27,Science,Female,Tutorials,Struggling,1,Excellent
35,0,28,20,Science,Male,Mixed,Struggling,8,At Risk
19,4,73,12,Commercial,Male,Textbooks,Struggling,6,Good
0,19,65,26,Arts,Male,YouTube,Motivated,9,At Risk
7,7,50,35,Science,Male,Mixed,Struggling,3,Average
15,42,74,6,Science,Male,Tutorials,Stressed,9,At Risk
13,75,76,21,Science,Female,YouTube,Motivated,9,At Risk
11,0,9,9,Science,Female,YouTube,Struggling,1,At Risk
22,56,13,38,Arts,Female,YouTube,Motivated,3,Average
14,63,81,14,Commercial,Female,Mixed,Stressed,6,Average
27,83,50,14,Arts,Male,Mixed,Motivated,8,Good
33,27,72,3,Science,Male,Mixed,Struggling,4,Good
1,36,38,31,Arts,Male,YouTube,Stressed,5,At Risk
31,46,27,22,Science,Female,YouTube,Stressed,9,Average
22,100,2,5,Commercial,Male,Textbooks,Struggling,6,At Risk
21,75,83,23,Commercial,Male,Textbooks,Struggling,7,Average
24,36,69,19,Commercial,Female,Mixed,Struggling,7,Average
21,48,26,36,Science,Female,Mixed,Motivated,4,Average
21,43,1,19,Arts,Female,Tutorials,Motivated,4,Average
5,55,92,11,Commercial,Male,Mixed,Motivated,4,Average
14,27,37,32,Science,Male,Textbooks,Struggling,5,Average
36,78,2,27,Science,Female,Textbooks,Struggling,5,Average
32,5,15,7,Arts,Female,Textbooks,Motivated,8,At Risk
7,60,93,0,Commercial,Male,YouTube,Stressed,9,At Risk
4,19,39,36,Science,Female,YouTube,Motivated,2,At Risk
38,77,1,21,Arts,Male,Mixed,Stressed,7,Average
3,1,80,5,Commercial,Female,Tutorials,Struggling,1,Average
5,72,40,20,Arts,Female,Tutorials,Struggling,1,Average
31,36,11,31,Arts,Female,Tutorials,Motivated,4,Average
29,19,34,34,Science,Male,YouTube,Motivated,10,At Risk
34,25,64,14,Science,Male,Textbooks,Struggling,7,Good
39,28,54,4,Science,Female,Textbooks,Motivated,2,Average
15,0,44,5,Arts,Male,YouTube,Struggling,2,Average
12,34,78,24,Science,Female,Tutorials,Struggling,1,Average
29,69,89,39,Arts,Female,Tutorials,Stressed,10,Good
18,100,100,28,Arts,Male,Mixed,Motivated,2,Excellent
16,58,84,6,Science,Male,Mixed,Struggling,7,Average
18,68,61,39,Commercial,Male,Tutorials,Motivated,9,Average
27,32,48,12,Commercial,Male,YouTube,Stressed,6,Average
25,50,94,37,Commercial,Female,Tutorials,Stressed,10,Excellent
36,77,24,17,Arts,Male,Mixed,Motivated,2,Average
25,11,22,1,Arts,Male,Tutorials,Motivated,10,At Risk
22,19,23,7,Arts,Female,YouTube,Struggling,10,At Risk
8,52,37,10,Science,Female,Textbooks,Stressed,9,At Risk
11,87,27,32,Arts,Female,YouTube,Stressed,7,At Risk
0,42,20,37,Science,Female,YouTube,Stressed,1,Average
0,97,53,26,Science,Male,Mixed,Motivated,9,At Risk
33,88,17,19,Commercial,Male,YouTube,Struggling,2,Good
31,49,35,11,Commercial,Female,YouTube,Motivated,4,Average
24,28,98,30,Commercial,Female,Mixed,Motivated,9,Excellent
39,56,44,26,Science,Male,Mixed,Motivated,4,Average
0,38,72,31,Science,Male,Textbooks,Struggling,3,Average
15,94,52,9,Science,Male,Tutorials,Motivated,1,Average
38,55,29,2,Arts,Male,YouTube,Stressed,7,At Risk
4,42,59,26,Science,Male,Mixed,Stressed,6,At Risk
21,49,97,34,Commercial,Female,Textbooks,Stressed,10,Good
28,22,31,30,Commercial,Female,Tutorials,Struggling,4,Good
2,43,66,14,Science,Female,Mixed,Motivated,6,At Risk
11,37,66,15,Science,Female,Tutorials,Struggling,6,Average
25,83,27,12,Commercial,Male,Tutorials,Motivated,4,Average
15,22,43,34,Science,Female,YouTube,Stressed,6,At Risk
36,44,78,10,Commercial,Male,YouTube,Motivated,10,Average
21,51,40,20,Arts,Male,Mixed,Motivated,8,At Risk
28,79,62,10,Commercial,Male,Tutorials,Motivated,3,Good
13,49,22,29,Arts,Male,Mixed,Struggling,4,Average
27,7,74,34,Science,Male,Mixed,Motivated,10,Average
4,84,47,21,Science,Male,Tutorials,Motivated,1,Average
29,0,31,37,Arts,Male,Mixed,Motivated,4,Average
4,7,56,30,Science,Female,Tutorials,Struggling,10,At Risk
11,28,99,13,Arts,Male,Tutorials,Struggling,10,At Risk
15,95,32,23,Science,Female,Tutorials,Struggling,9,At Risk
25,4,23,31,Commercial,Female,Tutorials,Motivated,8,At Risk
25,85,38,35,Science,Male,Textbooks,Stressed,4,Good
20,46,33,31,Commercial,Male,Tutorials,Stressed,7,Average
38,33,55,14,Commercial,Female,YouTube,Stressed,10,Average
35,64,27,34,Arts,Female,YouTube,Motivated,3,Average
32,54,36,2,Science,Female,YouTube,Stressed,9,At Risk
29,89,6,15,Arts,Female,Tutorials,Stressed,10,At Risk
36,42,67,4,Science,Male,YouTube,Stressed,4,Good
22,73,36,20,Commercial,Male,Textbooks,Motivated,2,Good
9,29,55,9,Commercial,Male,Mixed,Stressed,10,At Risk
4,81,64,18,Science,Female,Tutorials,Stressed,5,Average
35,16,64,24,Science,Male,YouTube,Motivated,2,Excellent
33,25,46,3,Arts,Female,Textbooks,Struggling,10,At Risk
30,7,19,28,Science,Male,Mixed,Stressed,6,At Risk
9,46,18,18,Science,Female,Textbooks,Struggling,10,At Risk
18,75,28,1,Science,Male,YouTube,Stressed,1,Average
31,90,73,9,Arts,Male,Textbooks,Motivated,6,Good
0,71,59,24,Science,Female,Mixed,Struggling,4,Average
4,88,17,19,Commercial,Female,YouTube,Struggling,3,At Risk
3,45,91,18,Arts,Female,Mixed,Struggling,2,Average
15,67,34,22,Arts,Female,Textbooks,Struggling,7,At Risk
23,32,42,23,Commercial,Female,Tutorials,Stressed,9,At Risk
15,0,94,10,Commercial,Male,Tutorials,Stressed,3,Good
1,18,90,33,Commercial,Female,Tutorials,Struggling,6,Good
27,30,10,27,Science,Male,Tutorials,Stressed,9,At Risk
31,79,48,4,Commercial,Male,Mixed,Struggling,2,Average
26,13,37,4,Science,Male,Tutorials,Struggling,7,At Risk
19,52,63,20,Arts,Male,Mixed,Motivated,5,Good
23,47,68,11,Arts,Male,YouTube,Struggling,5,Good
11,68,7,3,Commercial,Female,Tutorials,Stressed,7,At Risk
34,89,33,19,Science,Female,Mixed,Struggling,9,Average
